厂商	名称	Flash  ID	容量	类型	推荐VCCQ电压	ZC3281	FC3379
YMTC	YMN06MB1B1HM0A_08GB(CJCC)	9B4901009B49	8GB	MLC	1.8V	Y	Y
YMTC	YMN08TB1B1AU1B_32GB(JGS)	9BC348251000	32GB	TLC	1.8V	Y	Y
YMTC	YMN09TC1B1DC6C_64GB(TAS)	9BC428492000	64GB	TLC	1.2V	Y	Y
YMTC	KRN09TC1W03MXD_64GB(WYS)	9BC428493000	64GB	TLC	1.2V	Y	Y
YMTC	YMN08TB1B1AU1B_32GB*2(JGS)	9BC449251000	64GB	TLC	1.8V	Y	Y
YMTC	YMN00TC1B1DC6C_128GB(CJCC)	9BC529492000	128GB	TLC	1.8V	Y	Y
YMTC	YMN0ATF1W00CAD_128GB(WDS)	9BC558713000	128GB	TLC	1.2V	Y	Y
YMTC	YMN0ATF1W00CAD_256GB(WDS)	9BC659713000	256GB	TLC	1.2V	Y	Y
YMTC	YMN0WQC1B1AC6C(HS)	9BD5588D2000	128GB	QLC	1.2V		Y
Samsung	K9ADGD8U0M	EC1AA8DE88C5	16GB	TLC		Y	Y
Samsung	K9ADGD8U0E	EC1A882F80C9	16GB	TLC		Y	Y
Samsung	K9ADGD8U0F	EC1A981F84CA	16GB	TLC		Y	Y
Samsung	K9AFGD8J0B	EC5C98BF84CC	32GB	TLC		Y	Y
Samsung	K9AFGD8J0C	EC5C98AFCDEC	32GB	TLC		Y	Y
Samsung	K9AFGD8J0B	EC5C98AFCDEC	32GB	TLC		Y	Y
Samsung	K9AFGD8J0B	EC1C98BF84CC	32GB	TLC		Y	Y
Samsung	K9AFGD8J0C	EC5C98AF84CD	32GB	TLC		Y	Y
Samsung	K9AFGD8U0M	EC1C982F84C9	32GB	TLC		Y	Y
Samsung	K9AFGD8H0A	EC1C983F84CB	32GB	TLC		Y	Y
Samsung	K9AHGD8J0A	EC5E98BF84CC	64GB	TLC		Y	Y
Samsung	K9AHGD8J0E	EC5E981F84C2	64GB	TLC		Y	Y
Samsung	K9AHGD8J0M	EC5E983FCBEC	64GB	TLC		Y	Y
Samsung	K9AHGD8J0C	EC5E98AF84CD	64GB	TLC		Y	Y
Samsung	K9AHGD8J0D	EC5EA88F88C1	64GB	TLC		Y	Y
Samsung	K9AHGD8J0A	EC5E98BF84CC	64GB	TLC		Y	Y
Samsung	K9AHGD8J0C	EC5E98AFCDEC	64GB	TLC		Y	Y
Samsung	K9AHGD8J0M	EC5E983F84CB	64GB	TLC		Y	Y
Samsung	K9AHGD8J0M	EC1E983F84CB	64GB	TLC		Y	Y
Samsung	K9AHGD8J0C	EC1E98AF84CD	64GB	TLC		Y	Y
Micron/Intel	JS29F128GB08CBCEB(L05B)	89844434AA00	16GB	MLC	1.8V	Y	Y
Micron/Intel	MT29F128GB08CBCEB(L05B)	2C844434AA00	16GB	MLC	1.8V	Y	Y
Micron/Intel	JS29F128GB08CBCEB_1(L05B)	89844432AA04	16GB	MLC	1.8V	Y	Y
Micron/Intel	MT29F128GB08CBCEB_1(L05B)	2C844432AA04	16GB	MLC	1.8V	Y	Y
Micron/Intel	MT29F128GB08CBCEB_B5_1(L05B)	B5844432AA04	16GB	MLC	1.8V	Y	Y
Micron/Intel	MT29F128GB08CBEBB(L85C)	B584643CA904	16GB	MLC		Y	Y
Micron/Intel	lPF29F16B08LCMFS(L85C)	8984643CA90C	16GB	MLC		Y	Y
Micron/Intel	MT29F128GB08CBEBB(L85C)	2C84643CA905	16GB	MLC		Y	Y
Micron/Intel	MT29F64GB08CBCBD(L84C*2)	2C84E53CA504	16GB	MLC		Y	Y
Micron/Intel	MT29F128GB08CBCAB(L85)	2C84643CA5	16GB	MLC		Y	Y
Micron/Intel	l JS29F16B08AAMF1(L85)	8984643CA5	16GB	MLC		Y	Y
Micron/Intel	MT29F128GB08CBCCB_2(L95B)	2CA4E554A9	16GB	MLC		Y	Y
Micron/Intel	MT29F128GB08CBEBB(L85C)	2C84643CA904	16GB	MLC		Y	Y
Micron/Intel	MT29F128GB08CBCCB(L95B)	2C846454A9	16GB	MLC		Y	Y
Micron/Intel	MT29F128GB08CBEBB(L85C)	2C84643CAD04	16GB	MLC		Y	Y
Micron/Intel	MT29F128GB08CBCCB_1(L95B)	B5846454A9	16GB	MLC		Y	Y
Micron/Intel	MT29F128GB08CBCEB_B5(L05B)	B5844443AA00	16GB	MLC		Y	Y
Micron/Intel	MT29F128GB08CBCEB(L05B)	2C84C434AA00	16GB	MLC		Y	Y
