CLI Config ID,Release Config ID,Firmware Type,Title,Flash Vendor,Flash Geometry,Flash Type,Flash Part Number,Package Type,Package Count,Package Density,Package Die Count,Raw Capacity,User Capacity,512 LBA Count,512 Plus DIF LBA Count,520 LBA Count,524 LBA Count,4096 LBA Count,4096 Plus DIF LBA Count,Non 512 Sector Size,RAISE ON,Version Demo,Version Release,Topology ID,SATA Speed,Write IOPs,Firmware Fuse(?),Industrial Features,CLI Build ID,Release Build ID,Valid Flag,Release Status,Firmware Worksheet,Parent Folder
C20001,20001,SF-2141,SF-2141 24GB Intel25 ccMLC TSOP 3xJS29F64G08ACME2 (RAISE OFF),Intel,25,ccMLC,JS29F64G08ACME2,TSOP,3,64,5260371,24,24,46905264,0,0,0,0,0,0,False,Beta2,MP1,1Q-1C-1D-3L,3,10000,65280,0,PP-C00419,PP-R00419,1,External,Universal,SF-2281_Board
C20002,20002,SF-2141,SF-2141 32GB Intel25 ccMLC TSOP 4xJS29F64G08ACME2 (RAISE OFF),Intel,25,ccMLC,JS29F64G08ACME2,TSOP,4,64,5260371,32,32,62533296,0,0,0,0,0,0,False,Beta2,MP1,1Q-1C-1D-4L,3,10000,65280,0,PP-C00420,PP-R00420,1,External,Universal,SF-2281_Board
C20003,20003,SF-2141,SF-2141 48GB Intel25 ccMLC TSOP 6xJS29F64G08ACME2 (RAISE OFF),Intel,25,ccMLC,JS29F64G08ACME2,TSOP,6,64,5260371,48,48,93789360,0,0,0,0,0,0,False,Beta2,MP1,1Q-2C-1D-3L-S,3,10000,65280,0,PP-C00485,PP-R00485,1,External,Universal,SF-2281_Board
C20004,20004,SF-2141,SF-2141 64GB Intel25 ccMLC TSOP 8xJS29F64G08ACME2 (RAISE OFF),Intel,25,ccMLC,JS29F64G08ACME2,TSOP,8,64,5260371,64,64,125045424,0,0,0,0,0,0,False,Beta2,MP1,1Q-2C-1D-4L-S,3,10000,65280,0,PP-C00486,PP-R00486,1,External,Universal,SF-2281_Board
C20005,20005,SF-2141,SF-2141 48GB Intel25 ccMLC TSOP 3xJS29F16B08CCME2 (RAISE OFF),Intel,25,ccMLC,JS29F16B08CCME2,TSOP,3,128,5260356,48,48,93789360,0,0,0,0,0,0,False,Beta2,MP1,1Q-2C-1D-3L,3,10000,65280,0,PP-C00423,PP-R00423,1,External,Universal,SF-2281_Board
C20006,20006,SF-2141,SF-2141 64GB Intel25 ccMLC TSOP 4xJS29F16B08CCME2 (RAISE OFF),Intel,25,ccMLC,JS29F16B08CCME2,TSOP,4,128,5260356,64,64,125045424,0,0,0,0,0,0,False,Beta2,MP1,1Q-2C-1D-4L,3,10000,65280,0,PP-C00424,PP-R00424,1,External,Universal,SF-2281_Board
C20007,20007,SF-2141,SF-2141 24GB Intel25 MLC TSOP 3xJS29F64G08AAME1 (RAISE OFF),Intel,25,MLC,JS29F64G08AAME1,TSOP,3,64,5260371,24,24,46905264,0,0,0,0,0,0,False,RC1,TBD,1Q-1C-1D-3L,3,10000,65280,0,PP-C00686,PP-R00686,1,External,Universal,SF-2281_Board
C20008,20008,SF-2141,SF-2141 32GB Intel25 MLC TSOP 4xJS29F64G08AAME1 (RAISE OFF),Intel,25,MLC,JS29F64G08AAME1,TSOP,4,64,5260371,32,32,62533296,0,0,0,0,0,0,False,RC1,TBD,1Q-1C-1D-4L,3,10000,65280,0,PP-C00687,PP-R00687,1,External,Universal,SF-2281_Board
C20009,20009,SF-2141,SF-2141 48GB Intel25 MLC TSOP 6xJS29F64G08AAME1 (RAISE OFF),Intel,25,MLC,JS29F64G08AAME1,TSOP,6,64,5260371,48,48,93789360,0,0,0,0,0,0,False,RC1,TBD,1Q-2C-1D-3L-S,3,10000,65280,0,PP-C00700,PP-R00700,1,External,Universal,SF-2281_Board
C20010,20010,SF-2141,SF-2141 64GB Intel25 MLC TSOP 8xJS29F64G08AAME1 (RAISE OFF),Intel,25,MLC,JS29F64G08AAME1,TSOP,8,64,5260371,64,64,125045424,0,0,0,0,0,0,False,RC1,TBD,1Q-2C-1D-4L-S,3,10000,65280,0,PP-C00701,PP-R00701,1,External,Universal,SF-2281_Board
